Market / jurisdiction,Regulation / framework,Current Atlas record id,Record relationship,Current status,Source quality,Source gap,Applicability gap,Timing gap,Evidence gap,Legal-risk gap,UX gap,Reviewer recommendation,Priority,Premium-use blocked?,Suggested source to verify,Notes
European Union,CSRD / ESRS,csrd,Direct / parent,In force,Primary law / regulator guidance,,,,,,,Review source freshness and threshold caveats before premium examples,P0,,,
European Union,EU Taxonomy,eu-taxonomy,Direct / parent,In force,Primary law / regulator guidance,,,,,,,Confirm latest delegated-act and reporting-date treatment,P0,,,
United Kingdom,SDR / anti-greenwashing / UK SRS,uk-sdr,Direct / parent,Partially in force / monitor,Regulator guidance,,,,,,,Confirm current FCA and UK SRS timing before launch copy,P0,,,
United States,SEC climate disclosure status,sec-climate-disclosure,Direct / monitor,Delayed / monitor,Regulator source,,,,,,,Confirm litigation and implementation status before premium use,P0,Yes,,
California,SB 253 / SB 261,california-sb253-sb261,Direct,Adopted / implementation rulemaking,Primary law / regulator guidance,,,,,,,Confirm rulemaking timeline and first reporting date language,P0,,,
Canada,Climate and sustainability disclosure developments,,Direct / watch,Monitor,Regulator guidance,,,,,,,Check if core records include CSA CSSB OSFI and modern slavery coverage,P1,,,
Netherlands,Nitrogen / CSRD / climate / energy-saving coverage,,Direct / inherited,In force / monitor,Government / regulator guidance,,,,,,,Review whether local Dutch profile has enough non-EU-specific records,P1,,,
Germany,LkSG / CSRD / climate governance,,Direct,In force / monitor,Primary law / regulator guidance,,,,,,,Review local direct depth and BAFA guidance links,P1,,,
France,Duty of Vigilance / Article 29 / AGEC,,Direct,In force / monitor,Primary law / regulator guidance,,,,,,,Review local direct depth and finance/biodiversity coverage,P1,,,
Norway,Transparency Act / EEA sustainability rules,,Direct / inherited,In force / monitor,Primary law / regulator guidance,,,,,,,Review EEA inheritance and local direct rule distinction,P1,,,
Switzerland,Climate disclosure / due diligence / reporting,,Direct,In force / monitor,Government / regulator guidance,,,,,,,Confirm current climate ordinance and counterproposal due diligence records,P1,,,
Australia,Climate disclosure / modern slavery / taxonomy,,Direct,Adopted / in force,Primary law / regulator guidance,,,,,,,Confirm first reporting groups and source freshness,P1,,,
Singapore,ISSB roadmap / SGX climate / green finance,,Direct,In force / roadmap,Regulator / stock exchange,,,,,,,Confirm ACRA/SGX timing and entity scope,P1,,,
Hong Kong,HKEX climate / SFC ESG / HKMA climate risk,,Direct,In force / roadmap,Regulator / stock exchange,,,,,,,Review HKEX ISSB alignment timing and fund guidance coverage,P1,,,
Japan,SSBJ / sustainability disclosure / governance,,Direct,Adopted / monitor,Standard setter / regulator,,,,,,,Confirm SSBJ dates and listed-company scope,P1,,,
India,BRSR / BRSR Core / ESG ratings,,Direct,In force,Regulator guidance,,,,,,,Confirm top-1000/top-250 and value-chain assurance details,P1,,,
China,Exchange ESG disclosure / carbon market / green finance,,Direct / monitor,Guidance / in force,Regulator / exchange,,,,,,,Clarify mandatory versus voluntary exchange disclosure signals,P1,,,
Brazil,CVM ISSB alignment / taxonomy / climate policy,,Direct / monitor,In force / roadmap,Regulator / government,,,,,,,Confirm CVM resolution and phased dates,P1,,,
Mexico,Sustainable finance taxonomy / climate / exchange ESG,,Direct / watch,Monitor,Government / regulator,,,,,,,Add or review more direct market records for credibility,P1,,,
South Africa,JSE guidance / taxonomy / climate / carbon tax,,Direct / monitor,In force / guidance,Stock exchange / government,,,,,,,Review Climate Change Act and Carbon Tax Act coverage,P1,,,
South Korea,KSSB / K-ETS / ESG disclosure / taxonomy,,Direct / monitor,Monitor / in force,Regulator / government,,,,,,,Confirm ISSB roadmap and KRX/FSC status,P2,,,
Taiwan,FSC roadmap / climate act / TWSE disclosure,,Direct / monitor,In force / roadmap,Regulator / exchange,,,,,,,Confirm carbon fee and sustainability roadmap details,P2,,,
New Zealand,Climate-related disclosures / NZ ETS,,Direct,In force,Primary law / regulator,,,,,,,Confirm reporting entity scope and FMA/XRB guidance,P2,,,
Malaysia,NSRF / Bursa sustainability / CCPT,,Direct / monitor,Roadmap / in force,Regulator / exchange,,,,,,,Confirm NSRF timing and Bursa disclosure expectations,P2,,,
Indonesia,OJK sustainable finance / taxonomy / carbon exchange,,Direct / monitor,In force / roadmap,Regulator / government,,,,,,,Confirm OJK reporting and taxonomy versions,P2,,,
Thailand,One Report / taxonomy / SET ESG,,Direct / monitor,In force / roadmap,Regulator / exchange,,,,,,,Confirm SEC One Report and taxonomy phase details,P2,,,
Philippines,SEC sustainability reporting / taxonomy / ISSB monitor,,Direct / monitor,In force / monitor,Regulator / government,,,,,,,Confirm current SEC reporting requirements and ISSB roadmap,P2,,,
